psu_hh_idcode,subjectivePoverty_rating,q02,q03,q05,q09,q23,Q01,Q03,Q06,Q07,Q08,Q11,Q19
1_2_1,2.0,1,1,52,0,0,1,1,2.0,1.0,2.0,13.0,2.0
1_3_1,4.0,1,1,58,0,0,1,1,9.0,1.0,2.0,13.0,2.0
1_5_1,6.0,1,1,54,0,0,1,1,1.0,0.0,2.0,2.0,2.0
1_11_1,6.0,1,1,44,0,0,1,1,3.0,1.0,2.0,13.0,2.0
1_12_1,4.0,2,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
2_2_1,2.0,1,1,44,0,0,1,1,3.0,2.0,2.0,13.0,2.0
2_4_1,7.0,1,1,36,0,0,1,1,3.0,2.0,2.0,2.0,2.0
2_5_1,2.0,1,1,54,0,0,1,1,5.0,0.0,2.0,2.0,2.0
2_6_1,4.0,1,1,71,0,0,1,1,2.0,0.0,2.0,2.0,2.0
2_7_1,4.0,1,1,66,0,0,1,1,2.0,1.0,2.0,2.0,2.0
2_8_1,7.0,1,1,45,0,0,1,1,9.0,2.0,2.0,13.0,2.0
2_9_1,2.0,1,1,55,0,0,1,1,2.0,2.0,2.0,2.0,2.0
3_3_1,4.0,1,1,45,0,1,1,1,5.0,0.0,2.0,2.0,2.0
3_4_1,6.0,2,1,68,0,0,1,1,3.0,0.0,2.0,14.0,2.0
3_5_1,4.0,1,1,54,0,0,1,1,2.0,2.0,2.0,2.0,2.0
3_7_2,5.0,2,1,32,0,0,1,1,2.0,0.0,2.0,2.0,2.0
3_8_1,5.0,1,1,51,0,0,1,1,2.0,0.0,2.0,2.0,2.0
3_9_1,3.0,1,1,70,0,0,1,1,5.0,0.0,2.0,2.0,2.0
3_10_1,5.0,1,1,68,0,0,1,1,2.0,1.0,2.0,13.0,2.0
4_1_1,5.0,1,1,54,0,0,1,1,3.0,0.0,2.0,1.0,2.0
4_2_1,4.0,2,1,33,0,0,1,1,5.0,1.0,2.0,13.0,2.0
4_4_1,8.0,2,1,60,0,0,1,1,1.0,1.0,2.0,13.0,2.0
4_6_1,3.0,2,1,90,0,0,2,1,1.0,0.0,2.0,2.0,2.0
4_7_1,6.0,1,1,75,0,0,1,1,9.0,0.0,2.0,2.0,2.0
4_8_1,3.0,2,1,60,0,0,1,1,2.0,1.0,2.0,13.0,2.0
4_9_1,4.0,2,1,79,0,0,2,1,0.0,1.0,2.0,13.0,2.0
4_10_1,7.0,1,1,63,0,0,1,1,1.0,1.0,2.0,13.0,2.0
5_1_1,5.0,1,1,76,0,0,1,1,9.0,0.0,2.0,13.0,2.0
5_3_1,3.0,2,1,82,0,0,2,1,1.0,0.0,2.0,13.0,2.0
5_5_1,4.0,1,1,64,0,0,1,1,3.0,0.0,2.0,13.0,2.0
5_6_1,8.0,1,1,53,0,0,1,1,9.0,0.0,2.0,13.0,2.0
5_7_1,4.0,1,1,52,0,0,1,1,3.0,0.0,2.0,2.0,2.0
5_8_1,2.0,1,1,55,0,0,1,1,3.0,1.0,2.0,2.0,2.0
5_9_1,4.0,2,1,60,0,0,1,1,3.0,2.0,2.0,2.0,2.0
6_2_1,6.0,1,1,64,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_3_2,5.0,2,2,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_4_1,8.0,1,1,36,0,0,1,1,9.0,1.0,2.0,13.0,2.0
6_5_1,4.0,1,1,44,0,0,1,1,2.0,1.0,2.0,13.0,2.0
6_7_1,4.0,2,1,80,0,0,3,1,1.0,1.0,2.0,13.0,2.0
6_8_1,3.0,1,1,77,0,0,1,1,1.0,1.0,2.0,13.0,2.0
6_9_1,5.0,2,1,71,0,0,3,1,3.0,1.0,2.0,13.0,2.0
6_10_2,6.0,2,2,36,0,0,1,1,9.0,0.0,2.0,13.0,2.0
7_2_1,4.0,1,1,36,0,0,1,1,2.0,1.0,2.0,13.0,2.0
7_3_1,6.0,1,1,55,0,0,1,1,6.0,1.0,2.0,13.0,2.0
7_4_1,4.0,1,1,42,0,0,1,1,3.0,0.0,1.0,-1.0,-1.0
7_5_1,3.0,1,1,38,0,0,1,1,2.0,1.0,2.0,13.0,2.0
7_6_1,4.0,2,1,76,0,0,1,1,1.0,1.0,2.0,13.0,2.0
7_7_1,4.0,1,1,48,0,0,1,1,3.0,1.0,2.0,13.0,2.0
8_1_2,4.0,2,2,45,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_2_2,5.0,2,2,40,0,0,1,1,3.0,1.0,2.0,13.0,2.0
8_3_1,4.0,2,1,51,0,0,1,1,9.0,1.0,2.0,13.0,2.0
8_5_2,6.0,2,2,41,0,0,1,1,9.0,1.0,2.0,13.0,2.0
8_6_1,4.0,1,1,66,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_7_1,4.0,1,1,70,0,0,1,1,1.0,1.0,2.0,13.0,2.0
8_8_1,4.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
8_9_1,3.0,1,1,45,0,0,1,1,2.0,1.0,2.0,13.0,2.0
9_2_2,5.0,2,2,45,0,0,1,1,2.0,0.0,2.0,13.0,2.0
9_4_1,5.0,1,1,67,0,0,2,1,2.0,0.0,2.0,13.0,2.0
9_5_1,4.0,1,1,43,6,0,1,1,2.0,0.0,2.0,13.0,2.0
9_6_2,3.0,1,4,32,0,1,1,1,2.0,0.0,2.0,13.0,2.0
9_7_1,4.0,1,1,53,0,2,1,1,3.0,0.0,2.0,13.0,2.0
9_8_3,3.0,1,4,34,7,2,1,1,2.0,3.0,2.0,13.0,2.0
10_1_1,6.0,1,1,56,0,0,1,1,2.0,1.0,2.0,13.0,2.0
10_2_1,3.0,1,1,49,1,0,1,1,2.0,0.0,2.0,13.0,2.0
10_3_1,4.0,1,1,77,0,0,1,1,1.0,1.0,2.0,13.0,2.0
10_4_1,4.0,1,1,63,0,0,2,1,1.0,1.0,2.0,13.0,2.0
10_5_1,4.0,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
10_7_2,3.0,2,2,45,0,0,2,1,1.0,1.0,2.0,13.0,2.0
10_8_1,4.0,1,1,53,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_1_2,5.0,2,2,45,0,0,1,1,6.0,0.0,2.0,13.0,2.0
11_2_2,4.0,2,2,63,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_3_2,4.0,2,2,59,0,0,1,1,2.0,1.0,2.0,13.0,2.0
11_4_1,4.0,1,1,65,11,0,2,1,2.0,0.0,2.0,13.0,2.0
11_5_1,5.0,1,1,46,0,0,1,1,3.0,1.0,2.0,13.0,2.0
11_6_1,4.0,1,1,60,0,0,1,1,3.0,1.0,2.0,13.0,2.0
11_7_1,4.0,1,1,39,0,2,1,1,3.0,1.0,2.0,13.0,2.0
11_8_2,3.0,1,4,25,0,1,1,1,3.0,1.0,2.0,13.0,2.0
12_1_1,3.0,2,1,58,0,0,2,1,1.0,0.0,2.0,4.0,2.0
12_2_2,7.0,2,2,64,0,0,1,1,2.0,0.0,2.0,4.0,2.0
12_3_1,2.0,1,1,30,0,0,1,1,2.0,4.0,2.0,4.0,2.0
12_4_3,3.0,1,4,27,0,2,1,1,2.0,4.0,2.0,4.0,2.0
12_5_2,3.0,2,2,67,0,0,2,1,1.0,0.0,2.0,2.0,2.0
12_6_1,5.0,1,1,49,0,1,1,1,2.0,0.0,2.0,2.0,2.0
12_8_2,4.0,2,2,57,0,0,1,1,2.0,0.0,2.0,4.0,2.0
13_1_1,7.0,1,1,51,0,0,1,1,9.0,4.0,2.0,13.0,2.0
13_2_1,8.0,1,1,56,0,0,1,1,3.0,0.0,2.0,4.0,2.0
13_4_1,2.0,1,1,50,0,0,1,1,2.0,4.0,2.0,13.0,2.0
13_6_1,4.0,2,1,42,0,0,1,1,3.0,4.0,2.0,4.0,2.0
13_7_1,6.0,1,1,54,0,0,1,1,9.0,1.0,2.0,13.0,2.0
13_8_2,5.0,2,2,40,0,0,1,1,3.0,4.0,2.0,13.0,2.0
13_9_1,3.0,1,1,65,0,0,1,1,2.0,4.0,2.0,13.0,2.0
14_1_1,8.0,1,1,82,0,0,1,1,9.0,4.0,2.0,13.0,2.0
14_2_1,3.0,1,1,50,0,0,1,1,2.0,2.0,2.0,4.0,2.0
14_4_1,7.0,1,1,55,0,1,1,1,6.0,4.0,2.0,13.0,2.0
14_5_2,4.0,2,2,44,0,0,1,1,2.0,2.0,2.0,4.0,2.0
14_6_1,7.0,1,1,72,0,0,1,1,1.0,2.0,2.0,4.0,2.0
14_7_1,6.0,1,1,74,0,0,1,1,9.0,2.0,2.0,13.0,2.0
14_8_1,5.0,1,1,40,0,0,1,1,2.0,3.0,2.0,4.0,2.0
14_9_1,5.0,1,1,36,0,0,1,1,3.0,4.0,2.0,4.0,2.0
15_2_1,3.0,2,1,62,0,0,1,1,4.0,0.0,2.0,13.0,2.0
15_3_1,3.0,1,1,58,0,0,1,1,2.0,1.0,2.0,13.0,2.0
15_7_4,4.0,2,9,22,0,0,1,1,3.0,1.0,2.0,13.0,2.0
15_10_4,3.0,2,9,30,0,0,1,1,3.0,1.0,2.0,13.0,2.0
16_1_1,4.0,2,1,76,0,0,2,1,1.0,0.0,2.0,4.0,2.0
16_2_2,5.0,2,2,46,0,0,1,1,6.0,0.0,2.0,13.0,2.0
16_3_1,6.0,1,1,72,0,0,1,1,2.0,0.0,2.0,13.0,2.0
16_4_2,8.0,2,2,61,0,0,1,1,2.0,0.0,2.0,13.0,2.0
16_5_1,2.0,1,1,48,0,1,2,1,1.0,0.0,2.0,4.0,2.0
17_1_1,2.0,1,1,33,0,0,1,1,3.0,1.0,2.0,13.0,2.0
17_2_1,3.0,1,1,60,0,0,2,1,1.0,1.0,2.0,13.0,2.0
17_4_1,6.0,1,1,28,0,0,1,1,9.0,1.0,2.0,13.0,2.0
17_5_1,6.0,1,1,74,0,0,2,1,1.0,1.0,2.0,13.0,2.0
17_7_1,6.0,1,1,55,0,1,2,1,2.0,1.0,2.0,13.0,2.0
17_8_2,5.0,2,2,41,0,0,1,1,9.0,1.0,2.0,13.0,2.0
18_1_1,2.0,1,1,57,0,0,1,1,2.0,1.0,2.0,13.0,2.0
18_3_2,6.0,2,2,54,0,0,1,1,9.0,1.0,2.0,13.0,2.0
18_4_1,8.0,1,1,47,3,0,1,1,2.0,1.0,2.0,13.0,2.0
18_5_1,5.0,2,1,89,0,0,2,1,1.0,1.0,2.0,13.0,2.0
18_6_1,4.0,2,1,65,0,0,2,1,1.0,1.0,2.0,13.0,2.0
18_7_1,7.0,1,1,62,0,2,2,1,2.0,1.0,2.0,13.0,2.0
19_1_1,4.0,1,1,54,0,0,1,1,3.0,1.0,2.0,13.0,2.0
19_2_1,3.0,1,1,54,0,0,1,1,2.0,1.0,2.0,13.0,2.0
19_4_1,5.0,1,1,61,0,0,2,1,3.0,1.0,2.0,13.0,2.0
19_5_1,4.0,1,1,79,0,0,2,1,1.0,1.0,2.0,13.0,2.0
