psu_hh_idcode,hhid,q02,q03,q05,q09,q23
1_2_1,102,1,1,52,0,0
1_2_2,102,2,2,47,0,0
1_3_1,103,1,1,58,0,0
1_3_2,103,2,2,56,0,0
1_3_3,103,1,4,27,0,2
1_5_1,105,1,1,54,0,0
1_5_2,105,2,2,49,0,0
1_5_3,105,1,4,36,0,2
1_5_4,105,1,4,37,0,2
1_7_2,107,2,2,69,0,0
1_10_2,110,2,2,64,0,0
1_11_1,111,1,1,44,0,0
1_11_2,111,2,2,38,0,0
1_11_3,111,1,4,9,0,2
1_11_4,111,2,4,3,0,2
1_12_1,112,2,1,54,0,0
1_12_2,112,2,4,28,0,1
1_12_3,112,2,4,24,0,1
2_2_1,202,1,1,44,0,0
2_2_2,202,2,2,32,0,0
2_2_3,202,1,4,5,0,2
2_2_4,202,2,4,4,0,2
2_3_2,203,2,2,49,0,0
2_3_3,203,2,4,17,0,2
2_4_1,204,1,1,36,0,0
2_4_2,204,2,2,31,0,0
2_4_3,204,2,4,12,0,2
2_4_4,204,2,4,9,0,2
2_5_1,205,1,1,54,0,0
2_5_2,205,2,2,53,0,0
2_6_1,206,1,1,71,0,0
2_6_2,206,2,2,68,0,0
2_6_3,206,1,4,36,0,2
2_7_1,207,1,1,66,0,0
2_7_2,207,2,2,65,0,0
2_7_3,207,2,4,24,0,2
2_8_1,208,1,1,45,0,0
2_8_2,208,2,2,44,0,0
2_8_3,208,1,4,19,0,2
2_9_1,209,1,1,55,0,0
2_9_2,209,2,2,48,0,0
2_9_3,209,2,4,23,0,2
2_9_4,209,1,4,21,0,2
2_9_5,209,2,4,14,0,2
3_1_2,301,2,2,40,0,0
3_1_3,301,2,4,17,0,2
3_1_4,301,1,4,15,0,2
3_3_1,303,1,1,45,0,1
3_3_2,303,2,7,72,0,0
3_4_1,304,2,1,68,0,0
3_4_2,304,2,4,37,0,1
3_5_1,305,1,1,54,0,0
3_5_2,305,2,2,51,0,0
3_5_3,305,1,4,28,0,2
3_5_4,305,2,4,24,0,2
3_5_5,305,1,4,22,0,2
3_7_2,307,2,1,32,0,0
3_7_3,307,2,4,11,0,2
3_7_4,307,1,4,6,0,2
3_8_1,308,1,1,51,0,0
3_8_2,308,2,2,48,0,0
3_8_3,308,2,4,20,0,2
3_8_4,308,1,4,19,0,2
3_9_1,309,1,1,70,0,0
3_9_2,309,2,2,70,0,0
3_10_1,310,1,1,68,0,0
3_10_2,310,2,2,58,0,0
3_10_3,310,1,4,29,0,2
4_1_1,401,1,1,54,0,0
4_1_2,401,2,2,52,0,0
4_1_3,401,2,4,25,0,2
4_1_4,401,2,4,20,0,2
4_2_1,402,2,1,33,0,0
4_2_2,402,2,4,15,0,1
4_2_3,402,1,4,11,0,0
4_4_1,404,2,1,60,0,0
