psu_hh_idcode,subjectivePoverty_rating
30_8_1,4
194_1_2,1
224_6_1,3
323_10_1,5
428_10_1,4
809_6_2,3
138_2_1,5
329_1_1,2
409_8_1,4
186_4_2,5
688_5_1,6
364_6_2,3
528_8_1,5
758_4_2,7
647_5_2,4
176_7_1,3
328_8_1,2
512_8_1,6
431_4_1,4
31_8_1,5
174_2_3,2
581_7_1,1
60_1_1,2
580_9_1,1
742_8_1,4
427_7_1,5
589_5_1,2
376_4_2,5
452_1_1,4
579_2_1,1
223_7_1,7
689_7_1,8
797_5_1,2
86_2_1,4
203_3_1,5
55_4_1,5
575_5_1,7
731_7_1,7
482_3_1,8
751_9_1,4
147_8_1,5
185_6_1,1
477_8_1,5
262_1_1,7
599_1_1,7
773_4_2,2
409_2_1,4
311_5_1,5
386_7_1,2
62_4_2,7
262_6_1,8
507_4_1,4
377_4_1,3
305_1_1,5
398_8_1,6
322_5_1,5
161_2_2,2
361_5_1,4
390_4_1,2
640_7_2,4
480_3_1,6
28_2_1,4
69_1_1,2
197_2_1,3
750_9_2,3
367_3_1,2
329_6_1,3
829_1_2,5
710_12_1,6
235_8_1,3
517_3_1,7
378_4_1,3
146_5_1,4
379_5_1,3
391_5_1,5
339_2_2,5
507_8_1,5
464_7_3,6
381_6_1,8
751_3_7,8
601_6_1,4
685_2_1,4
624_2_2,5
664_11_1,3
777_2_2,6
751_5_1,4
322_11_1,5
403_5_2,6
803_4_1,5
145_2_1,5
392_4_1,5
59_6_1,3
829_8_2,6
270_4_2,6
660_6_1,1
63_8_1,5
371_11_1,9
301_10_1,4
286_8_2,7
333_2_1,5
121_2_1,5
284_8_1,6
648_7_1,5
67_10_1,2
585_2_1,5
147_9_1,5
519_2_1,5
496_8_1,8
733_8_1,2
184_11_1,2
619_5_1,7
551_5_1,4
474_1_1,7
530_7_1,7
8_7_1,4
146_3_1,5
396_5_1,2
814_8_2,2
672_8_2,3
167_8_1,4
490_11_1,7
60_2_1,4
738_8_2,3
4_10_1,7
33_9_1,2
465_5_1,4
648_11_2,6
23_5_1,4
131_11_2,2
367_11_1,5
30_2_1,2
29_7_1,3
364_5_1,4
190_4_1,6
3_3_1,4
13_1_1,7
454_4_1,7
800_5_1,3
190_1_1,6
624_4_2,5
699_7_1,5
353_6_1,5
593_4_1,5
739_2_1,4
741_4_2,6
