classifier__C,classifier__gamma,classifier__kernel,Mean Log Loss
10.0,0.1,rbf,1.9624797401918197
10.0,scale,rbf,1.9674890642416494
10.0,0.01,rbf,1.9677461023331617
0.5,0.1,rbf,1.9687013108213969
1.0,0.1,rbf,1.9695799095339275
0.1,0.1,rbf,1.9748944003009068
10.0,0.001,rbf,1.9771890456326773
1.0,0.01,rbf,1.9797249786968394
1.0,scale,rbf,1.9798145422163542
0.5,scale,rbf,1.9798922058694202
0.5,0.01,rbf,1.9803215175760207
1.0,0.001,rbf,1.9833962299213632
0.5,0.001,rbf,1.9850795969137423
0.1,scale,rbf,1.9897998458099455
0.1,0.01,rbf,1.990908579112953
0.1,0.001,rbf,2.016566450033719
