C,gamma,kernel,Mean Log Loss
10.0,0.01,rbf,1.948786842738619
1.0,scale,rbf,1.9496745508783522
100.0,0.001,rbf,1.9511447581079981
0.5,scale,rbf,1.9515480847118991
10.0,scale,rbf,1.9519097614231604
1.0,0.01,rbf,1.952603313404325
1.0,0.1,rbf,1.9533624014932176
10.0,0.001,rbf,1.9538778371114105
0.5,0.01,rbf,1.9540621566661875
0.5,0.1,rbf,1.9541648443713169
0.5,0.001,rbf,1.955189684497989
100.0,0.01,rbf,1.9555192306327598
1.0,0.001,rbf,1.9560612172694831
10.0,0.1,rbf,1.9589713696859214
100.0,scale,rbf,1.959076565067815
100.0,0.1,rbf,1.96575458331119
