psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
1_7_1,0.042288784,0.09731679,0.1637436,0.23632321,0.24554288,0.1251958,0.05466347,0.029010896,0.0041561686,0.0017583672
1_8_1,0.04032726,0.085761756,0.1947633,0.23441297,0.23298119,0.11393034,0.0622366,0.029502705,0.0045385794,0.0015453347
1_10_1,0.011831339,0.025004152,0.064346425,0.13349737,0.28120917,0.19059382,0.1272259,0.13570783,0.022628991,0.007954989
2_3_1,0.027705401,0.065375656,0.14758743,0.19847971,0.24480999,0.16229047,0.11190697,0.031666044,0.008698471,0.00147986
3_1_1,0.053477783,0.09291939,0.18534634,0.19759296,0.24253123,0.13052358,0.06527772,0.025637556,0.0052887998,0.0014046794
5_4_1,0.01690118,0.031033058,0.07051817,0.13205484,0.28776142,0.1881894,0.12313046,0.12369306,0.019979944,0.0067384583
7_8_2,0.014297043,0.02707337,0.06737016,0.115840904,0.30358988,0.1790609,0.13924725,0.12110886,0.026192363,0.00621924
7_9_2,0.046640266,0.09394644,0.19581698,0.207068,0.25577518,0.10894399,0.060263027,0.025330355,0.0047682575,0.0014475242
9_1_1,0.034491956,0.084465586,0.20943816,0.20330128,0.25626284,0.11789642,0.06757586,0.020525744,0.0041605993,0.0018815373
9_3_1,0.025962742,0.06848201,0.13401808,0.19184765,0.28355977,0.1615932,0.097504236,0.030268036,0.0051612817,0.0016029883
10_6_2,0.046793867,0.09705441,0.19823836,0.20151706,0.25661755,0.10834457,0.060461495,0.024396945,0.0051234574,0.0014522914
12_7_1,0.036661632,0.09712416,0.21199307,0.1823525,0.2621239,0.11339053,0.06755847,0.021616975,0.0054878183,0.0016909689
13_3_2,0.0107695535,0.04588548,0.112411276,0.22574456,0.3181837,0.10868648,0.10723341,0.049075555,0.020576892,0.0014331264
15_4_1,0.03952673,0.08792055,0.19731839,0.25049737,0.25089395,0.09899833,0.049682587,0.019521596,0.0038430854,0.0017974358
15_8_1,0.028419986,0.054994248,0.14731674,0.19994555,0.24509844,0.16102444,0.12350364,0.033529,0.0048816632,0.0012862359
15_9_2,0.04430582,0.08298873,0.19568391,0.20849995,0.25759807,0.110632814,0.06826897,0.025175449,0.0056113848,0.0012348945
15_11_2,0.07642072,0.1478076,0.22678815,0.15978196,0.16734777,0.11165033,0.08426869,0.017137002,0.007172856,0.001624907
16_7_1,0.014256952,0.051914815,0.105556615,0.19779311,0.2596984,0.16706285,0.11789492,0.0646658,0.019457543,0.0016990044
16_8_1,0.039792217,0.0873462,0.17395686,0.19951825,0.25028285,0.14500405,0.07181166,0.02601675,0.004850724,0.0014204277
16_9_1,0.038433522,0.08115477,0.16222464,0.21495311,0.2572526,0.14429325,0.064144775,0.029989887,0.0056322585,0.0019211423
17_3_1,0.023427255,0.057552066,0.12506828,0.26108152,0.25513625,0.14946513,0.086924694,0.033905815,0.005682169,0.0017568179
17_6_1,0.040946968,0.07933741,0.17123353,0.21722499,0.2248645,0.13973375,0.08800612,0.029532796,0.0072375485,0.0018824036
18_2_1,0.053382017,0.09245741,0.19693618,0.22854343,0.23623216,0.11085644,0.051593278,0.025048051,0.00352162,0.0014293886
18_8_1,0.053145073,0.106802635,0.19518004,0.22606671,0.2308636,0.10760566,0.05074363,0.024635555,0.0034636243,0.0014934842
19_3_1,0.051411726,0.105776936,0.17113833,0.18433562,0.2651525,0.13344938,0.05863653,0.02307919,0.0053686057,0.0016511783
20_3_1,0.039662573,0.098419115,0.23054239,0.22556439,0.23430212,0.093987994,0.051528722,0.020235961,0.003922286,0.0018344786
21_1_2,0.035466246,0.08037678,0.19996813,0.20206425,0.25738457,0.118154176,0.07331259,0.026273167,0.0057492987,0.0012507959
21_2_1,0.051939677,0.10794338,0.23876342,0.21084313,0.22974361,0.087284945,0.05164091,0.017203405,0.0033158895,0.0013216403
21_5_1,0.016881771,0.028640226,0.070437185,0.13117637,0.2916184,0.18595853,0.12489542,0.12355101,0.020110372,0.0067307195
24_6_1,0.05198472,0.092910476,0.19660833,0.22690576,0.23783341,0.10948571,0.054904796,0.02454673,0.003542778,0.0012773209
24_7_1,0.05073786,0.10618579,0.2404925,0.21641117,0.2283,0.08900185,0.047107708,0.016932463,0.0032713057,0.0015593658
25_7_5,0.03741604,0.08986911,0.21083696,0.26411304,0.18148617,0.10844839,0.078237906,0.021732166,0.005981097,0.001879089
26_1_2,0.046506446,0.095363885,0.19525515,0.20765606,0.25504133,0.10863141,0.06009012,0.025257679,0.0047545764,0.0014433711
26_2_1,0.052559506,0.09280915,0.19639392,0.2266583,0.23757404,0.109366305,0.054844916,0.024979085,0.0035389143,0.0012759279
26_3_2,0.04807169,0.100802936,0.19466867,0.21530479,0.25228384,0.10811446,0.051438887,0.024397437,0.0035673752,0.001349955
26_7_1,0.0445578,0.09338764,0.19794776,0.22807108,0.2342932,0.11365478,0.057926055,0.024672799,0.004170866,0.0013180851
28_8_1,0.04007311,0.08522127,0.19353588,0.23472388,0.23554268,0.116368815,0.059250746,0.029316774,0.0042158267,0.0017510374
29_1_1,0.05329297,0.09230319,0.19660766,0.22690497,0.23927394,0.10948532,0.052305587,0.02500627,0.003542764,0.0012773165
29_2_1,0.053203825,0.108147696,0.19539581,0.22492848,0.23111881,0.10678024,0.050799724,0.024662789,0.0034674532,0.0014951352
30_1_1,0.053284995,0.092289366,0.19657823,0.22687101,0.23923811,0.10946894,0.052297756,0.025002526,0.003542234,0.0014267907
30_4_1,0.042603403,0.09828889,0.19270305,0.22761963,0.23118022,0.112632014,0.05899578,0.030035865,0.004197686,0.0017435018
31_2_1,0.053203825,0.108147696,0.19539581,0.22492848,0.23111881,0.10678024,0.050799724,0.024662789,0.0034674532,0.0014951352
